"pen_size_animal","month","BW","backfat_thick","eye_rib","carcass_weight","windex","marbling"
10,29.7,793,16,98,492,62.34,7
10,30.8,860,20,98,520,59.17,7
10,29.3,846,15,99,511,62.64,7
10,30.5,797,16,96,485,62.25,7
5.71428571428571,31.8,747,22,81,449,57.41,4
5.71428571428571,34.4,912,27,101,538,54.75,7
5.71428571428571,29.9,856,16,99,499,62.3,7
5.71428571428571,30.7,845,19,79,515,57.44,5
5.71428571428571,31.1,775,12,97,456,65.58,7
5.71428571428571,31.8,788,29,96,490,54,6
5.71428571428571,30.5,727,8,71,421,65.54,7
5.71428571428571,30.8,755,21,77,454,57.4,5
6.25,30,692,17,94,419,62.95,7
6.25,29.5,719,15,98,419,64.72,8
6.25,30.2,926,13,108,558,63.93,7
6.25,31,800,21,92,457,59.28,5
6.25,30.9,846,11,114,518,66.92,9
6.25,29.7,958,16,117,580,62.7,7
6.25,29.4,768,22,82,459,57.3,6
6.25,29.9,721,11,83,426,65.1,6
6.25,30.7,900,11,86,543,62.68,6
6.25,30.7,891,9,107,513,67.38,7
6.25,29.7,737,18,89,460,60.69,6
6.25,30.1,900,15,98,526,62.15,6
6.25,30.2,745,12,97,449,65.74,4
6.25,29.9,760,17,95,435,62.69,6
6.25,29.8,841,16,83,500,60.2,6
6.25,30,868,15,109,505,64.08,5
6.25,29.5,744,15,79,442,61.7,4
6.25,30,746,13,83,442,63.47,4
6.25,29.2,721,16,94,436,63.17,4
6.25,29.3,838,17,105,505,62.31,6
6.25,31.5,851,15,94,509,62.04,6
6.25,30.3,834,11,88,494,64.12,2
6.25,28.8,851,12,99,497,64.85,6
6.25,30.6,798,14,89,483,62.64,6
6.25,29.1,694,16,87,418,62.69,5
6.25,30.9,782,13,106,459,66.05,4
6.25,29.9,788,22,98,457,59.43,7
6.25,29.7,761,19,92,448,60.74,6
6.25,31,793,15,98,491,62.99,2
6.25,30.1,854,22,103,497,59.12,7
6.25,30.8,835,16,106,491,63.41,8
6.25,31.6,841,13,115,518,65.8,7
6.25,31.8,784,17,89,475,60.95,7
6.25,31.1,855,21,106,521,59.56,8
6.25,30.5,796,18,92,468,60.89,6
6.25,30.3,775,12,99,460,65.74,7
6.25,30.9,838,11,109,472,67.38,9
6.25,30.4,731,22,85,431,58.37,6
6.25,29.8,763,19,87,451,60.02,4
6.25,30.6,714,14,89,430,63.91,7
6.25,31.1,907,11,104,519,65.6,6
6.25,31.7,860,15,98,475,63.37,6
6.25,30.2,787,15,86,427,62.97,4
6.25,30.5,763,14,89,434,63.81,4
6.25,30,917,10,88,449,65.82,6
6.25,30.2,720,7,96,540,66.55,3
6.25,29.5,831,21,100,447,60.56,6
6.25,32.3,767,14,95,504,62.91,6
6.25,28.3,887,12,107,518,65.39,6
6.25,30.5,665,15,87,398,63.79,4
6.25,29.5,767,14,113,509,65.13,6
6.25,30.5,913,15,114,546,63.75,8
6.25,30.8,899,10,97,529,65.07,3
6.25,30.6,741,14,116,449,66.96,3
6.25,30.2,757,15,48,444,61.52,2
6.25,30.5,845,14,89,498,62.28,7
6.25,29.9,680,11,90,402,66.59,7
6.25,30.7,784,11,91,467,65.16,4
6.25,30.3,792,20,98,479,60.15,8
6.25,30.9,792,9,98,456,67.58,4
6.25,30.3,890,14,92,536,61.76,6
6.25,30.6,782,19,93,467,60.42,4
6.25,30,785,9,88,469,65.97,4
6.25,30.1,858,10,100,513,65.85,3
6.25,30.9,723,7,93,428,68.35,3
6.25,30.5,864,11,89,528,63.43,4
6.25,29.6,738,9,98,442,67.92,6
6.25,30.2,695,13,96,421,65.66,3
6.25,29.7,714,15,77,411,62.18,7
6.25,31.4,761,12,90,463,64.5,6
6.25,30.3,880,15,93,524,61.55,5
6.25,30,843,10,92,477,65.67,6
8,31.1342465753425,777,11,119,460,68.96,6
8,30.5753424657534,887,8,105,523,67.51,7
8,30.213698630137,878,22,84,516,56.2,7
8,29.0958904109589,966,22,105,573,57.56,6
8,30.3452054794521,920,18,102,542,60.41,6
8,32.3178082191781,668,21,94,399,60.93,8
8,30.0493150684932,823,10,89,478,65.26,5
8,30.7068493150685,857,19,103,513,60.61,8
8,30.9698630136986,752,15,100,446,64.33,8
8,31.5287671232877,834,20,103,513,59.99,7
8,30.7068493150685,856,19,87,532,58.08,7
8,29.9178082191781,828,16,84,505,60.21,4
8,30.213698630137,716,16,88,418,62.82,6
8,31.3315068493151,892,12,94,510,63.89,6
8,30.8712328767123,828,9,96,509,66.05,7
8,30.2465753424658,847,16,94,499,61.65,7
8,30.8712328767123,820,10,92,489,65.38,6
8,31.4630136986301,825,11,78,475,63.27,4
8,29.8849315068493,798,14,100,472,64.33,7
8,31.4301369863014,905,21,84,544,56.15,6
8,31.2328767123288,779,12,89,460,64.44,7
8.33333333333333,31.1,793,9,106,477,68.12,7
8.33333333333333,31,910,13,109,538,64.54,8
8,31.2,823,11,109,473,67.35,7
8.33333333333333,31.6,818,22,87,483,57.38,4
8.33333333333333,32.4,829,14,96,483,63.55,6
8.33333333333333,30.4,848,23,85,493,56.25,6
8,30.4,829,17,98,476,62.1,6
8.33333333333333,29.9,874,20,118,558,60.86,7
8.33333333333333,31.4,851,13,97,517,63.49,6
8.33333333333333,31,830,20,86,503,58.02,2
8.33333333333333,30.4,773,12,96,466,65.21,7
8.33333333333333,29.8,778,11,103,464,66.79,6
8.33333333333333,29.7,924,16,125,573,63.91,9
8.33333333333333,29.9,884,12,90,508,63.42,6
8.33333333333333,30.9,800,19,97,458,61.15,7
8.33333333333333,30.3,898,14,103,515,63.69,6
8.33333333333333,31.9,784,18,106,463,62.83,6
8.33333333333333,32.1,788,22,102,467,59.71,7
8.33333333333333,29.7,712,14,83,426,63.23,4
8.33333333333333,31.3,866,19,90,541,58.25,7
